Date,AXISBANK,BAJFINANCE,DRREDDY,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,MARUTI,ONGC,RELIANCE,SUNPHARMA,TCS,WIPRO
2019-01-02,-0.011624836637197803,-0.01624064882832294,-0.0023039270697766396,-0.00916619242635315,-0.009203224019491587,0.002334197850543207,0.005996300087024611,-0.007456043610025176,-0.028344195127535405,-0.009812577988332669,-0.01310943047689584,0.014881178981666184,0.010715920189246038,-0.0033731041508615832
2019-01-03,-0.019707456693341428,-0.01071084998436753,-0.009153660871813232,-0.007876884055425514,0.002126950662191373,-0.0037095590060532806,0.00014962315545444347,-0.0062561963366270556,-0.008831110320313446,-0.03213258456259187,-0.012414006716895642,-0.009016766290786751,-0.012214986497401784,-0.00015373323300408497
2019-01-04,0.01898134989562704,-0.00393237194429608,0.008749727719283295,0.002671729727189269,-0.0037534251879416383,0.005353816263880951,-0.012178839750562581,0.007502661204210512,0.00423184616156769,0.022909764422133192,0.005384618999737185,-0.0052879547324846945,-0.012232742470701618,-0.0032310612344005982
2019-01-07,0.028401724346240734,-0.008753124704591098,-0.016031494186236728,0.001510143491159798,0.0018225772172117956,0.006822161879968599,0.015982481941580792,0.0024885059946221405,0.017477036362047695,0.014648573174903158,0.005536815522634348,-0.006939601218773537,0.01115332109712047,-0.0006165440562344152
2019-01-08,0.02088033820691709,-0.006502116842961005,0.004620503845695174,-0.008357576037516749,-0.007930639411298143,0.03329846445463059,-0.0024595726767172115,0.009188891015295355,0.010465278452078751,-0.002708912835657829,-9.038936483029333e-05,0.03926069080973306,-0.0022946808477160396,0.004001338523639163
2019-01-09,0.029070910933069474,-0.00501847921669882,0.012602731480146383,0.006540611088990202,0.007958683780864017,0.0055089604630743855,0.008988504273375992,0.02140508430429922,0.007152242038198556,-0.014688519644033076,0.005506824291276673,0.0015612244047132203,-0.003491563836395584,0.010541599460625063
2019-01-10,-0.01027504337658523,-0.003850021224655757,-0.0010378981648293247,-0.00392878502008205,0.0006719101749900339,-0.007220182615441948,0.005310573172017228,-0.0027584238325761828,-0.013611671417526883,-0.014209491082780853,-0.0029302986830440484,-0.009290988426136742,0.0008474491430152324,-0.009927584939045766
2019-01-11,0.00488816325928405,-0.0001788938369375571,-0.004721802053426815,0.001611079607130494,-0.00944985361058275,-0.0025065340613506884,0.005575182582613863,0.019660427033065454,-0.009665526278173185,0.009725589006396347,-0.008569173188984825,-0.00044986159588494574,-0.024658667759937004,0.009015187522986743
2019-01-14,-0.011013054020305958,0.012097315027059085,-0.003619216684047382,-0.004865226013805331,-0.0031131656698912616,-0.013831686524806965,0.026564404645913805,-0.0035615579987384916,0.0119763334435203,-0.008330295598500749,-0.0011391394651382686,0.014409514579223832,-0.016029765645459697,-0.050381010730090776
2019-01-15,0.0021214513031354875,0.023073584791604974,0.0061853680576008,0.009589240488633315,0.014604624977222543,-0.0016084200891913801,0.03458497608409304,0.007616335102677957,-0.007254300888075088,0.011781177073373101,0.0295112133306439,0.0035427229960748098,0.029640252132398893,0.053722113914727955
2019-01-16,0.005133621102612366,-0.013278061394340446,0.008499977624262092,-0.0008014802567594951,-0.009712704602675492,0.006817611069804804,0.013940261501784998,-0.008465976526094696,-0.006123201612846685,0.008233376396562022,0.005517361167035394,0.0029792576855734456,0.0012575114864758585,0.020260208028191912
2019-01-17,0.018872020398944495,-0.013298841652158102,0.0008403368246156914,0.0056908500559218885,-0.011946784746308836,-0.0018667566393974046,-0.004693066597515303,-0.00034017512077887606,0.0035503314250095084,-0.009267382766825892,-0.0012773644878843393,-0.0619270365743708,0.01497201527120194,-0.003422781380813428
2019-01-18,-0.017968664577326206,0.0027564250541157373,-0.008569918836978075,-0.0009618576025854381,-0.004233924410445233,-0.006964896832397879,-0.003277911740989688,-0.008541179124235378,0.0029535446138868127,0.011996710246650704,0.04304580355287819,-0.08766145799950384,0.003346760209356909,0.031548152384611235
