Date,sigma_p_pct,VaR_95,VaR_99,CVaR_95,CVaR_99,actual_return_decimal,actual_pnl,actual_loss
2019-01-09,0.8317730084490799,136818.34215978914,193495.35495550942,171569.81845279172,221684.14221184878,0.006688559031591114,66885.59031591113,-66885.59031591113
2019-01-10,0.8272796860873032,136079.2355645005,192450.07337448932,170642.98084922804,220486.581935988,-0.005157864281219771,-51578.642812197715,51578.642812197715
2019-01-11,0.8146009891009711,133993.71669721874,189500.62809455892,168027.7460218573,217107.45561519082,-0.0006946972257023999,-6946.972257023999,6946.972257023999
2019-01-14,0.806171644950792,132607.1738779558,187539.7097649027,166289.0252039999,214860.8668122851,-0.003631136347297257,-36311.36347297257,36311.36347297257
2019-01-15,0.8281510858876884,136222.57211766587,192652.78711005294,170822.72448605346,220718.82741078667,0.015507786528974936,155077.86528974934,-155077.86528974934
2019-01-16,0.867690182960328,142726.35819514433,201850.76726206107,178978.45403922684,231256.7875625866,0.002447059777566635,24470.59777566635,-24470.59777566635
2019-01-17,0.8547334549268769,140595.10600092198,198836.64361963936,176305.8697477669,227803.56040711125,-0.0045796321089653065,-45796.321089653065,45796.321089653065
2019-01-18,0.8498455951174225,139791.1019408648,197699.58079216594,175297.6509048707,226500.84801069545,-0.003038032400184835,-30380.32400184835,30380.32400184835
2019-01-21,0.875428932579482,143999.305119999,203651.03258596486,180574.72592316975,233319.31911108355,0.0032794674204582284,32794.67420458228,-32794.67420458228
2019-01-22,0.8807872334068434,144880.69202309166,204897.53410743398,181679.9826348296,234747.4134475919,0.004668589598634171,46685.89598634171,-46685.89598634171
2019-01-23,0.8796260314356137,144689.6859108441,204627.40369286676,181440.46150422405,234437.92989821977,-0.0038128372599805214,-38128.37259980521,38128.37259980521
2019-01-24,0.8794074453060695,144653.73067839537,204576.55400155095,181395.37374328298,234379.67232297367,0.0008045312912384644,8045.312912384644,-8045.312912384644
2019-01-25,0.8644960620428808,142200.95724543347,201107.71891303535,178319.60271758502,230405.49045566857,-0.006665460290360591,-66654.60290360592,66654.60290360592
2019-01-28,0.886277890968921,145783.85028547782,206174.82577610004,182812.5405701593,236210.7835010368,-0.013225028076870593,-132250.28076870594,132250.28076870594
2019-01-29,0.9261897356860599,152348.949623,215459.51821264808,191045.15677996355,246848.08835504865,0.007170423445983666,71704.23445983666,-71704.23445983666
2019-01-30,0.9187064711522571,151118.02743983478,213718.6863841496,189501.58380457608,244853.6486914996,0.005119801011718535,51198.01011718535,-51198.01011718535
2019-01-31,0.9250082494159416,152154.60694642825,215184.66906163047,190801.45160702628,246533.19863433676,0.01663149173431568,166314.9173431568,-166314.9173431568
2019-02-01,0.948012204311919,155938.52748726754,220536.07908908167,195546.47738341952,252664.21269321264,0.009831916177296321,98319.16177296321,-98319.16177296321
2019-02-04,0.9620924376537219,158254.58506966074,223811.56377138532,198450.8071148332,256416.87648346997,0.0014669375307510143,14669.375307510143,-14669.375307510143
2019-02-05,0.9503139787089127,156317.14635782907,221071.54086705434,196021.2643882874,253277.6816054994,0.0010476895759204928,10476.895759204928,-10476.895759204928
2019-02-06,0.9448060320379608,155411.14420992415,219790.22723299082,194885.14022847018,251809.7036587573,0.012093902663307643,120939.02663307643,-120939.02663307643
2019-02-07,0.9382542788243089,154333.44632381058,218266.09288289896,193533.7100930902,250063.53039225482,0.005919840742078256,59198.407420782554,-59198.407420782554
2019-02-08,0.9179998375353399,151001.79327618808,213554.30220584612,189355.82648841455,244665.31669991883,-0.010769224728080312,-107692.24728080312,107692.24728080312
2019-02-11,0.9200299231567802,151335.72206005876,214026.56102396175,189774.57224954906,245206.37511974506,-0.010782504663983629,-107825.04663983629,107825.04663983629
2019-02-12,0.9751702761529574,160405.75872439996,226853.86134146244,201148.3728620705,259902.38200028616,-0.0031935018040413284,-31935.018040413284,31935.018040413284
2019-02-14,0.9334192142046328,153538.12654452006,217141.31180042372,192536.3813139896,248774.88896981874,-0.008110546842352235,-81105.46842352234,81105.46842352234
2019-02-15,0.9213864752924507,151558.8613208552,214342.13574728277,190054.38825857377,245567.92339494397,-0.006989300098110122,-69893.00098110121,69893.00098110121
2019-02-18,0.938291500772473,154339.5689620641,218274.75182470042,193541.38786433803,250073.4507858795,-0.007813630939142927,-78136.30939142927,78136.30939142927
2019-02-19,0.9144687006762033,150420.9565742287,212732.8538383052,188627.45888848047,243724.19810422172,-0.006198823117313293,-61988.231173132925,61988.231173132925
2019-02-20,0.9134825881641144,150258.75092711518,212503.45448461792,188424.0534606119,243461.37939749978,0.011903064179776327,119030.64179776327,-119030.64179776327
2019-02-21,0.9110039646928729,149851.0421523307,211926.85230650305,187912.78779719892,242800.7766699445,0.007471951270510177,74719.51270510176,-74719.51270510176
2019-02-22,0.9114701809730092,149927.7300682503,212035.30819975113,188008.95422930262,242925.03263292645,0.0038676836431013497,38676.8364310135,-38676.8364310135
2019-02-25,0.8949567456387878,147211.4350901242,208193.78773795118,184602.72792291275,238523.8718476497,0.009896301549461094,98963.01549461094,-98963.01549461094
2019-02-26,0.8881754962590815,146095.98737965632,206616.26569475012,183203.95961336073,236716.5332629704,-0.002045987575737571,-20459.87575737571,20459.87575737571
2019-02-27,0.8761679723864381,144120.86977784522,203822.9554162571,180727.1676641506,233516.2880004335,-0.0026596180006247428,-26596.18000624743,26596.18000624743
2019-02-28,0.8724617041901813,143511.2257222429,202960.76624576186,179962.67572330867,232528.4934007671,-0.0020596401649506145,-20596.401649506144,20596.401649506144
2019-03-01,0.8736778836854479,143711.27508741932,203243.68608174572,180213.53706779733,232852.62955984558,0.0054893522585961856,54893.52258596186,-54893.52258596186
2019-03-05,0.86054940205729,141551.77114440364,200189.60740058738,177505.52516235723,229353.62663630897,0.010526409011634895,105264.09011634895,-105264.09011634895
2019-03-06,0.8793392781071139,144642.51785583916,204560.69626605787,181381.31289515438,234361.504401108,0.006380535568569236,63805.35568569235,-63805.35568569235
2019-03-07,0.8858227089616016,145708.97739709384,206068.93678573737,182718.65017750955,236089.46839244606,-0.0035022824719996423,-35022.824719996424,35022.824719996424
