metric,parametric_rs,mc_rs,diff_rs,diff_pct,date
VaR_95,126636.81386799684,124710.45598368367,-1926.357884313169,-1.5211673647452613,2024-12-30
VaR_99,179096.12748563502,181571.10426367895,2474.976778043929,1.3819264619456622,2024-12-30
CVaR_95,158802.21044775797,158381.72188768626,-420.4885600717098,-0.2647875989169812,2024-12-30
CVaR_99,205187.20671225316,208570.0733700195,3382.866657766339,1.6486732832765467,2024-12-30
