date,daily_loss,var95,var99,hit95,hit99,rolling_breach95,rolling_breach99,uce95
2019-01-09,-66885.59031591113,136818.34215978914,193495.35495550945,0,0,,,
2019-01-10,51578.642812197715,136079.2355645005,192450.07337448932,0,0,,,
2019-01-11,6946.972257023999,133993.71669721874,189500.62809455892,0,0,,,
2019-01-14,36311.36347297257,132607.1738779558,187539.7097649027,0,0,,,
2019-01-15,-155077.86528974934,136222.57211766587,192652.78711005297,0,0,,,
2019-01-16,-24470.59777566635,142726.35819514433,201850.76726206107,0,0,,,
2019-01-17,45796.321089653065,140595.10600092198,198836.64361963936,0,0,,,
2019-01-18,30380.32400184835,139791.1019408648,197699.5807921659,0,0,,,
2019-01-21,-32794.67420458228,143999.305119999,203651.0325859649,0,0,,,
2019-01-22,-46685.89598634171,144880.69202309166,204897.534107434,0,0,,,
2019-01-23,38128.37259980521,144689.6859108441,204627.40369286676,0,0,,,
2019-01-24,-8045.312912384644,144653.73067839537,204576.55400155095,0,0,,,
2019-01-25,66654.60290360592,142200.95724543347,201107.71891303535,0,0,,,
2019-01-28,132250.28076870594,145783.85028547782,206174.82577610004,0,0,,,
2019-01-29,-71704.23445983666,152348.949623,215459.51821264808,0,0,,,
2019-01-30,-51198.01011718535,151118.02743983478,213718.6863841496,0,0,,,
2019-01-31,-166314.9173431568,152154.60694642825,215184.66906163047,0,0,,,
2019-02-01,-98319.16177296321,155938.52748726754,220536.07908908167,0,0,,,
2019-02-04,-14669.375307510143,158254.58506966074,223811.56377138532,0,0,,,
2019-02-05,-10476.895759204928,156317.14635782907,221071.5408670543,0,0,,,
2019-02-06,-120939.02663307643,155411.14420992415,219790.2272329908,0,0,,,
2019-02-07,-59198.407420782554,154333.44632381058,218266.09288289896,0,0,,,
2019-02-08,107692.24728080312,151001.79327618808,213554.30220584612,0,0,,,
2019-02-11,107825.04663983629,151335.72206005876,214026.56102396175,0,0,,,
2019-02-12,31935.018040413284,160405.75872439996,226853.86134146244,0,0,,,
2019-02-14,81105.46842352234,153538.12654452006,217141.31180042372,0,0,,,
2019-02-15,69893.00098110121,151558.8613208552,214342.13574728277,0,0,,,
2019-02-18,78136.30939142927,154339.5689620641,218274.7518247004,0,0,,,
2019-02-19,61988.231173132925,150420.9565742287,212732.8538383052,0,0,,,
2019-02-20,-119030.64179776327,150258.75092711518,212503.45448461792,0,0,,,
2019-02-21,-74719.51270510176,149851.0421523307,211926.85230650305,0,0,,,
