date,AXISBANK,BAJFINANCE,DRREDDY,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,MARUTI,ONGC,RELIANCE,SUNPHARMA,TCS,WIPRO
2019-01-02,12584.348716432018,11166.076489487397,7555.590500343931,5311.712864232989,4219.720617219017,11094.617417014515,8626.535419866237,6954.798549966541,12156.709746463663,10119.86387318983,11450.781692466631,16879.81673306265,8684.946912261794,13346.130957738145
2019-01-03,12601.728231910902,11476.407072522186,7086.606699238995,5691.889868835064,4523.192334159291,10729.68613373517,8526.117348154956,6943.66969027043,12896.416683529478,10012.20406713964,11411.499201450773,16373.127250062667,8543.046849569328,12801.758179729193
2019-01-04,13092.876397070233,11453.38576783902,7344.224167072548,5936.797542264206,4465.749400967644,10422.637884759184,8374.53543087145,6892.620540160163,12548.05957002378,11898.140678022846,11371.739995157179,15947.865220306361,8571.980553974321,12236.442285684989
2019-01-07,12902.278107424445,11218.012494583394,7324.4536142321085,5928.795415014799,4490.993068128058,10127.38349025438,8626.607368272089,6844.328719606917,12141.162851932937,12050.488613024821,11089.953748594284,15546.619235800976,8587.9239042529,11863.881782293798
2019-01-08,12885.71736240837,11039.326966381268,8180.700177640903,5897.636306241688,4507.736087568988,9863.704334019303,8983.514801337436,6722.138801242273,12149.426017755844,11803.59211003413,10807.52653701699,15178.788684105435,8590.148280051302,11491.780033342144
2019-01-09,12899.908381204224,10881.883288883735,7324.198547467816,6082.534059474561,4585.015269956481,11710.702562770397,8779.951233577223,6762.684460420305,11921.892524876599,11296.138100716797,10486.136873654306,15736.460969234553,8365.120401093503,11108.91018993311
2019-01-10,12959.564273904927,10656.255201459255,7666.47732884359,6165.791275429444,4758.61751625162,11343.744755282058,8787.763671397752,7282.493718190927,11601.982508284442,11168.915948666503,10262.433550333244,15309.008902386457,8201.42919612513,11010.616427797368
2019-01-11,12906.352049183626,10508.1208742574,7098.636226777329,6198.241444647588,4702.480785970454,11127.442794372186,8671.045868570556,7170.675175756463,11542.552324862456,11214.49691588114,10040.343850035753,14976.26916626868,8068.239785508873,10937.304173718398
2019-01-14,12577.306956698561,10298.145790833918,7028.835568852923,6146.108967417722,4905.299510023973,10752.453716577438,8645.59485807199,7442.827733354152,11297.572737157425,10864.42687448858,9925.620384549737,14580.403450899232,8649.969894458653,10816.268402744055
2019-01-15,12388.935522156587,10176.09147091537,6940.294538326062,6159.587755143467,4850.242201294378,10738.322106536878,9737.69726135678,7238.16501113157,10923.75713899578,10517.700217489779,9614.657185750777,14079.386676254971,9026.28803680597,14702.215036123654
2019-01-16,11798.346567795703,10889.511545219086,6936.9433440589555,6349.418114086614,5428.192493605639,10102.507857845227,11773.846866681954,7072.292379703455,10283.933616279362,10205.855396739302,10863.73681032895,13388.582582343886,10161.75312551164,18392.481319797018
2019-01-17,11559.861401003436,10954.257761827848,7131.751689581484,6290.477810739029,5514.522320992898,9858.423349229217,11528.84151729559,7025.335237808652,10029.066953620424,9947.67985510617,10618.136948222487,13089.591263706237,9922.13150195914,17938.589949343288
2019-01-18,11286.03691075252,11058.172991474134,6947.504336008593,6248.856693082527,5732.13548673015,9554.606996220848,11049.571458511127,6900.048083583738,9732.37276134371,9809.07013145916,10316.623685228118,15331.824607090946,9765.091823098768,16921.498828185355
2019-01-21,11534.835469792191,10708.33429851904,7344.518879793599,6129.153347150561,5559.468210106895,9334.106002639372,10540.918391616176,6859.489080016946,9376.332270139923,9587.870007884962,12193.192267918226,19108.52533701607,9429.868339691862,16983.642684324303
2019-01-22,11331.683533841142,11128.193138144225,7007.894800143979,6269.5165786160205,5404.499422359467,9044.163442197842,10709.251249442887,6743.439896619141,9631.933585980643,9677.398655221838,14116.199394789905,18621.845118951518,9237.225898080917,16771.026355018923
2019-01-23,11053.016861390497,11013.418234579758,8034.720660411239,6252.075212331432,5292.7008762837195,8843.161440473375,10278.965778302756,6614.101727926404,9770.232053094704,9335.314002276322,13526.586183413963,19581.324314454294,9009.403396291633,16709.037201665426
