scenario,start,end,total_days,peak_loss_day,peak_loss,cumulative_loss,avg_var95,breaches_95,breach_rate,max_excess_over_var,max_excess_day
COVID_Crash,2020-02-20,2020-03-23,21,2020-03-23,1410663.4934640476,4393683.177179429,251883.0327216324,7,0.3333333333333333,933247.6927281527,2020-03-23
COVID_Recovery,2020-03-24,2020-06-01,44,2020-05-04,546987.2384868333,-2614719.672834973,435777.94897617976,1,0.022727272727272728,154636.66040354385,2020-05-04
Adani_Hindenburg,2023-01-24,2023-02-27,24,2023-02-22,115031.17943268549,80393.54031066847,131583.4971631013,0,0.0,-10804.278176960026,2023-02-22
Fed_Rate_Shock,2022-06-01,2022-06-30,22,2022-06-13,260656.6130297352,351674.40261107526,170786.57954350972,2,0.09090909090909091,98147.10385321901,2022-06-13
